"";"db_ref";"objectives"
"397";"crs_GB-SC-SC030289-91446";"Mercy Corps have been requested by DFID to manage pass-through finding to Shujaaz, a national organisation to conduct media outreach on COVID-19 prevention targeting youth. 

Mercy Corps has no activities to complete under this programme beyond partner management. 

Programme Impact: Kenya's youth population and adults, especially in urban low-income households, can make informed decisions related to the Coronavirus prevention and control.
"
"398";"crs_US-18-MW2-2750BX69GD-ACCESSMARK-0076";"Malawi II - Access To Markets Projects - Baseline Data Collection activity: Compact Development Funding (CDF) is used pre-compact for key project preparation work such as the feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures."
"399";"crs_US-18-MW2-2750BX69GD-MON & EVAL-0076";"Malawi II - Monitoring and Evaluation - Baseline Data Collection activity: Compact Development Funding (CDF) is used pre-compact for key project preparation work such as the feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures."
"400";"crs_XM-DAC-7-PPR-4000003693";"Nederlandse bijdrage voor een tweede periode van 3 jaar 2020-2023 aan het Centre for Humanitarian Data, een cen-trum dat door UNOCHA is geopend in Den Haag. De missie van het centrum is het verhogen van het gebruik en de im-pact van data in de humanitaire sector."
"401";"crs_XM-DAC-7-PPR-4000004315";"The project will facilitate countries to monitor biomass production and evapotranspiration and to assess land and water productivity in rainfed and irrigated agriculture by using innovative state of the art Remote Sensing and Information and Communication Technologies. Based on this information, stakeholders at different scales will be able to obtain sustainably increased and secure crop yields with a reduced impact on available freshwater resources and the environment in a changing climate."
"402";"crs_GB-COH-1110949-371809";"To support low- and middle-income countries to tackle antimicrobial resistance (AMR) through improving surveillance capacity. Projects funded through Fleming Fund will benefit people in low- and middle-income countries, where the burden of drug resistant infection is greater."
"403";"crs_GB-COH-1110949-383141";"Through the country and regional grants (in West Africa, East and Southern Africa, South Asia and South East Asia) and the fellowships programme the Fleming Fund will: build laboratory capacity for diagnosis; collect data on drug resistance, drug quality, drug use and the burden of disease associated with AMR; enable the sharing of data relevant to AMR locally, regionally, and internationally; encourage the application of data to promote the rational use of antimicrobials; shape a sustainable system for AMR surveillance and data sharing; and increase national leadership in addressing AMR."
"404";"crs_XI-GRID-grid.442465.5-2";"Data collection through documentary reviews, in-depth interviews in the sampled ministries( Ministry of finance and PMORALG and selected Municipalities and Town Councils ( Kinondoni, Ilemela and Ilala Municipalities; Tunduma, Kigoma Ujiji, Kasulu, Tanga and  Korogwe Town Council)"
"405";"crs_NL-KVK-27378529-FVOF19010";"The purpose of this project is to improve the income position of Indonesian nutmeg and mace farmers (male and female) in the value chains of Verstegen Spices and Sauces, as this is key to engage farmers in long-term entrepreneurial relationships and to create higher standards of social and environmental sustainability in the production and consumption of nutmeg and mace.Since Verstegen’s leverage to directly influence the purchase price is limited, the proposed intervention is an innovative online transparency platform, that allows for new income generation through tracing products and collecting product information and other relevant data within the influence of Verstegen and its supply partners. Data is one of the most valuable commodities on earth, far surpassing nutmeg or mace in market size.  A lot of data is generated during the production of nutmeg and mace and 'harvesting' this data to be 'processed' and used in the value chain brings great potential value. Smallholder farmers, who hardly produce any data whatsoever, currently underutilize this value. Monetization of data required for supply chain transparency and product traceability data in particular, and for internal and external business processes in general, presents a powerful opportunity for value addition and new farmer income.The project partners will aim to develop interventions to improve such internal and external processes, while putting data autonomy first and offering farmers a fair remuneration for the use of their data. The project is successful if all farmers are digitally included in the value chain and share data for both upstream and downstream partners of Verstegen, up until the end consumers, that can be monetized and directly distributed back to farmers.This two-year nutmeg project is the prelude to making all supply chains traceable to the last mile and product information transparent to consumers, within the coming five years. Specific objectives are to know all farmers by name and engage them through generating a new income stream that should help them towards earning enough for a living income. This is part of a long-term strategy to safeguard the supply of Indonesia’s iconic nutmeg spice, produced sustainably by and for future generations."
"406";"crs_NL-KVK-27378529-DRR220MZ02";"The embassy of the Netherlands in Maputo received 2 request for support of the DRR-Team. The request for DRR support in the city of Nacala, thas suffers from erosion and floods, is to analyse the existing municipal report and to advise on measures (projects) to prevent erosion and improve drainage and to advice on financing options for the projects. A roadmap for next steps to further develop projects and to arrange finance will be included.The request for the city of Pemba focuses on the risk of floods due to abundant rainwater, floods from the sea during cyclones and sanitation. The DRR-Team is requested to review the existing report of Gauff Engineering (2015) and to analyse the erosion and flood situation, the underlying causes and to advise on technical interventions, governance and financing options to reduce the negative impacts of erosion and floods. The sewage system, WWT options and the localisation of the ETAR will be reviewed and advise is requested on conclusions regarding construction, treatment options and localisation of the ETAR. A roadmap for next steps to proceed to feasibility study and finance of the project, is to be delivered.The expert should be able to combine and geo-reference data of all kind of sources and should have ample experience in finding and using open source data on a as detailed levels as possible."
"407";"crs_NL-KVK-27378529-PCB20MD01";"The aim of the overall project is to contribute to the availability of improved, relevant and trustable spatial information available for the public and business on properties, infrastructures and environmental issues in Moldova. This is achieved by strengthening the Agency for Land Relations and Cadastre (ALRC) of Moldova and related institutions in a project of 22 months. This project provide additional co-financing to enable the input of Dutch expertise in this EU funded Twinning project."
"408";"crs_NL-KVK-27378529-PVW4A20009";"Development and piloting of a data collection plan for the Ayeyarwady Delta"
"409";"crs_NL-KVK-27378529-PCB19AM01";"This project aims to support the Real Estate Cadastre Committee of the Republic of Armenia with the digitalisation of the cadastral archives in Armenia, through trainings, advice and study visits. The project is contributing to Armenia’s  economic development and the strengthening of the private sector, as digitalisation of cadastral archives will lead to  more transparency and better quality of land- and property documentation."
"410";"crs_NL-KVK-27378529-PST20FI01";"Infrastructure investment plans in the Manila Bay, Philippines are often made ad hoc and do not take the complete development needs of the area including fields like e.g. sanitation, water quality improvements and disaster risk reduction properly into account.  These limitations are addressed in the Manila Bay Sustainable Development Master Plan (MBSDMP)  that is being developed with Dutch expertise. Currently different donors and companies are as a result of the MBSDMP, preparing several follow-up projects as well as technical assistance projects in these fields in the Manila Bay. In this PSD Toolkit project a well-organized database and is prepared for these TA projects under development and for companies willing to invest in the Manila Bay. In a workshop these databases including explanations on how to use the data for ToR inputs for future projects will be disseminated to donors, companies and parties active in the Manila Bay."
"411";"crs_NZ-1-ACT-0101841";"The Pacific Tourism Data Initiative collects and reports tourism data through an International Visitor Survey (IVS) and  Business Confidence Index (BCI) to inform evidence-based tourism investment and decision making in the Pacific."
"412";"crs_NZ-1-ACT-0101736";"Kiribati is scheduled to undertake its Population and Housing Census in November 2020. The Census will form the baseline for future population-based social and economic policy. This Activity will provide funding to the Government of Kiribati to enable completion of this national exercise."
"413";"crs_NZ-1-ACT-0101729";"Country analysis of political, economic, social, environmental context; partner development priorities (National Development Plans); donor, development co-operation landscape; and internal current state review (lessons learned)."
"414";"crs_NO-BRC-971277882-QZA-20/0255-5";"Support to Statistics Norway for preparation/ planning for an OfD country programme in Somalia
"
"415";"crs_NO-BRC-971277882-SAF-20/0003";"The overall project goal in the project proposed here is improved food security situation in low- and middle-income countries. The contribution to this is that more statistics is produced from household surveys and used for better policies and implementation of concrete projects.The Norwegian Bureau of statistics will collaborate with COMESA and some national institutions  with a strong element of capacity development. This will include increased knowledge of how to process household budget survey  data so they are accessible to food security indicators and increased knowledge on how to use this data in multiple types of analysis. The support is a part of the Agriculture for development program"
"416";"crs_NO-BRC-971277882-TAN-19/0012";"Demographic and Health Survey Tanzania 2020/21 nutrition component
Basket funding through UNICEF co-financed by USAID, Canada, Irish Aid,DFID and Nutrition International. Survey implemented by ICF, National Bureau of Statistics (NBS) and Tanzania Food and Nutrition Center (TFNC). The Demographic and Health Survey (DHS) will include a nutrition component which will provide input to future planning on support to the National Multi-sectoral Nutrition Action Plan (NMNAP). Nutrition sensitive agriculture and education on nutrition are important aspects of this multisectoral plan."
"417";"crs_NO-BRC-971277882-QZA-19/0229-7";"OfD use of Statistics Norway towards Kenya"
"418";"crs_NO-BRC-971277882-QZA-20/0061-12";"Data/statistics in humanitarian response. NORCAP (Norwegian Capacity Standby Roster). Secondment of personell on short notice to the United Nation and other organisations strengthening their capacity to efficiently protect lives and livelihood of affected populations in crisis."
"419";"crs_NO-BRC-971277882-QZA-20/0255-2";"Support to Statistics Norway for preparation/ planning for an OfD country programme in Ghana"
"420";"crs_NO-BRC-971277882-QZA-15/0470-4";"National studies of living conditions among disabled  in Malawi."
"421";"crs_NO-BRC-971277882-QZA-20/0255-4";"Support to Statistics Norway for preparation/ planning for an OfD country programme in Kenya"
"422";"crs_NO-BRC-971277882-ETH-20/0006";"Support to Statistics Norway for preparation/ planning for a country programme in Ethiopia"
"423";"crs_NO-BRC-971277882-QZA-20/0255-3";"Statistics needed for a new energy programme"
"424";"crs_NO-BRC-971277882-PAL-19/0041";"The overall goal of the project is to ensure sustainable protection of Palestinian digital rights and to ensure that the policies and practices of the Palestinian Authority (PA) and private companies in Palestine are in line with human rights law and norms."
"425";"crs_NO-BRC-971277882-QZA-18/0405-11";"NPD activities under the APDM data management program within the OfD programme."
"426";"crs_NO-BRC-971277882-QZA-19/0229-3";"Support to Statistics Norway for preparation/ planning for an OfD country programme in Cuba
"
"427";"crs_NO-BRC-971277882-QZA-19/0229-6";"Support to Statistics Norway for preparation/ planning for an OfD country programme in Mozambique
"
"428";"crs_NO-BRC-971277882-QZA-18/0406-12";"The overall aim of this collaboration is to continue to build capacity and improve data management in OfD partner countries, and to upscale these activities to generate impact across and beyond the OfD portfolio and beyond the oil & gas sector."
"429";"crs_NO-BRC-977538319-YESI1801";"Yemen Independent Monitoring, Evaluation and Data Analysis Programme"
"430";"crs_NL-KVK-41150085-OKP-TMT.20/00047";"OKP-TMT.20/00047"
"431";"crs_NL-KVK-41150085-OKP-TMT.20/00054";"OKP-TMT.20/00054"
"432";"crs_NL-KVK-41150085-OKP-TMTPLUS.19/00004";"OKP-TMT+.19/00004"
"433";"crs_NL-KVK-41150085-OKP-ICP-104672";"OKP-ICP-EAR-104672"
"434";"crs_KR-GOV-021-16ED00011";"To improve operational efficiency and security of the e-Government sevices and contribute to reduction of national budget thtough preventing repetitive investments in equipment and human resources"
"435";"crs_KR-GOV-021-17ED00010";"To prevent redundant investments in ICT infrastructure through the operation of a single system at the national level and DB construction."
"436";"crs_KR-GOV-040-1721000_2021_005";"Establishment of big data analysis system to support advancement of Vietnam's science and technology policy"
"437";"crs_KR-GOV-051-2020070102466";"To improve ICT Literacy of Ghanaian Youth through IT S/W practical education in various fields, to create avenues non-face-to-face jobs through AI data labeling in COVID-19 situations, to provide career growth and development opportunities for graduates who have completed education, including BOP"
"438";"crs_KR-GOV-051-2021010100127";"Consulting & leading the system development, Development of Information System,  Hardware and software supply for the System,  Capacity building program. Construction of IT Center, Equipment supply for IT Center"
"439";"crs_KR-GOV-051-2021010100135";"The Establishment of Basic Plan and Action Plan for Traffic Database building, Conduct necessary traffic surveys and analysis for producing traffic data, Provision of training Program/Capacity Building, The Establishment of Database Operation Center in RDA"
"440";"crs_KR-GOV-020-GRP_0000147814";"- Survey of CRVS Status of the Republic of El Salvador
- Comparative Study on Partner Country and Korea to Draw Implications
- Policy Recommendations for CRVS Development of Partner Country
- Capacity Building Workshop and Final Dissemination Seminar"
"441";"crs_KR-GOV-160-GRP_0000142932";"Ensure safe passage of vessels at fairways of major ports by conducting hydrographic surveying, nautical cartography and ocean observation in the jurisdictional sea area and product quality control. 

  - Produce nautical charts and analysis data from ocean observation of the littoral sea, aiming to develop the coast and support the construction of oil transport facilities, etc."
"442";"crs_KR-GOV-220-1240000_2020_001";"Statistical Capacity Building for the national statistical system of Bolivia"
"443";"crs_KR-GOV-220-1240000_2021_001";"STEP with Tanzania (Statistical Ecosystem Promotion with Tanzania)"
"444";"crs_KR-GOV-220-1240000_2021_002";"STEP with Azerbaijan (Statistical Ecosystem Promotion with Azerbaijan)"
"445";"crs_KR-GOV-220-1240000_2021_004";"Evaluation of Statistical Human Capacity Building Activities of KOSTAT with Developing Countries"
"446";"crs_KR-GOV-220-1240000_2020_004";"KOSTAT-UNSIAP Training Program for Statisticians from Asia and the Pacific Region"
"447";"crs_KR-GOV-280-GRP_0000147843";"To train and educate korea advanced technic of weather radar utilization for meteorologists in developing countries"
"448";"crs_KR-GOV-051-2021030701053";"Dispatch of KOICA Volunteers in Thailand for Statistical capacity building(Total number of volunteer : 1 New : 0 Male : 0 Female : 1)"
"449";"crs_KR-GOV-120-1480000_2021_011";"Capacity building program on hydrological observation and data management in response to climate change in Cambodia"
"450";"crs_KR-GOV-220-GRP_0000143054";"Project Purpose : To enhance the capacities of Bolivia's statistical human resources with respect to production of statistics and services 
Policy Consultation
 -  Request from Bolivia for ODA project support (2018.9.)
 - Preliminary feasibility Study conducted (2019.3.)
 - The scope of project discussed at 2019 workshop on the advanced collaboration with developing countries (2019.11.)
Project Contents
 - On-site Training in Bolivia: Population census, national statistics practices, economic statistics, social statistics, 
 -  Korean invitation training: Population census, training session for middle managers
 -  Establishment of two digital classrooms (each have 25 seats including instructor's seat)"
"451";"crs_KR-GOV-150-1613000_2020_019";"Spatial Data Standardization and Utilization for the National GIS in Uzbekistan"
"452";"crs_KR-GOV-160-201918211208";"Providing ocean scientific survey and analysis equipment, conducting field surveys, developing policies, and operating education and training programs in order to solve the ocean and coastal problems of Cirebon and to enhance the capacity on ocean science and technology in Indonesia"
"453";"crs_KR-GOV-150-1613000_2020_018";"Pilot project for Technology Capacity Building on Integrated Spatial Data infrastructure in Support of Digital Economy"
"454";"crs_GB-GOV-24-001";"The programme provides high-quality technical assistance, mainly through experts from the UK Office for National Statistics, to build the capacity of statistical systems in developing countries. We have key partnerships with national statistical offices globally, primarily in Africa."
"455";"crs_GB-CHC-202918-RWAA74";"Oxfam Rwanda would like to seek Buffer Funds to implement a two tier project that links programme quality, monitoring, evaluation, learning and accountability with following key interventions: 1. Capacity building programme for partners and staff  - Training will be conducted for Oxfam Rwanda partners' and staff to orient them on Common Approach to MEL and Social Accountability (CAMSA). A Monitoring Evaluation and Learning (MEAL) capacity assessment for partners will also be conducted to identify gaps, followed by the development of a MEAL capacity building plan. The capacity building on systematic MEAL will be continuous to reinforce the skills and knowledge amongst partners to enable them to deliver effective programme with impact. The country programme will also establish a learning hub and a platform for convening and sharing as a part of influencing. 2. Using ICT4D in Data collection :Through Iformbuilder mobile platform  Technology (https://www.iformbuilder.com/contact -us/)  together with IPad devices, Oxfam Rwanda programme will fully deploy ICT4D technology in Data collection and later on in Reporting, form design will be done through Iformbuilder  and data will be hosted  and accessed at the Oxfam account  and IPad Mini 2 with 3G will be used to save money  and time spending in Data collection  and also Data quality will be  granted."
"456";"crs_GB-CHC-202918-RESA25";"Ethical Trading Initiative (ETI) has been in existence since 1998, with particular focus on supply chains for the past 5 years. It is now planning a survey of workers in several countries to better understand what has changed for workers in these 5 years, either due to ETI's work in supporting members to work towards our Base Code standards or due to other drivers.    The overall purpose of the broad study will be to ascertain direct contribution to impacts by ETI and Oxfam and will also help us to gain a deeper understanding of the world of global supply chain workers and to assess our contribution to the changes taking place within it.   Morocco is one of three countries in which ETI will be involved in conducting such worker surveys. This study will be managed by Oxfam – Oxfam Great Britain and Oxfam Intermon. It will test the SenseMaker approach for this kind of study. It will seek to identify where progress seems to have been made in recent years although it is unlikely that a precise 5 year span can be explored due to the methodological limitations of not having a baseline and of historical recall of the workers."
"457";"crs_NL-KVK-27108436-A-05982-04:MX";"General Objective: To obtain actionable information to propose public policy solutions using data analysis from digital technologies (i.e. Big Data). The results will contribute to deepen our understanding of social problems associated to different typesof inequality.
Specific objectives:
# To position Oxfam Mexico as an innovative partner who creates bridges between state-of-the-art researchon Big Data and data activism.
# To develop a pilot to promote inclusive public policies with a multidimensional understanding of inequality.
# To insert Oxfam Mexico in the national and international data science and data activism ecosystem.
Methodology: The project will use data from private providers such as Cuebiq, a firm that uses cellular data to map mobility patterns, to measure movements in the city, inspired by the model developed by the MIT Media Lab in their Atlas of Inequality. Additionally, an origin-destination matrix will be generated using metadata from mobile phones (Call Detail Records or CDRs). This is an innovative tool that will add new sources of information to the current data from the Mexico City government and other public institutions.
The results of thisproject will be used as inputs for Oxfam's urban inequality interventions in a timeline of projects developed until 2020."
"458";"crs_NL-KVK-27108436-A-05259-13:14";"LGBTQI organisations in Kenya, Tanzania and Uganda have limited opportunity to speak. When they do, it's vital they have the tools and resources they need to communicate effectively.Data4Change (D4C), with input from Voice Global, will select eight LGBTQI organisations from our existing and trusted partners in target countries to participate in DataWise. Trusted partners from other countries may be included as agreed by D4C and Voice.DataWise empowers grassroots organisations working at the intersection of LGBTQI, women’sand young people’s rights to use data, design, and storytelling to build and strengthen community,inspire action, and hold power toaccount. After participating in DataWise, organisations will: collect and use data to inform and implement innovative advocacy strategies; transfer newly acquired data skills to their own communities using D4C toolkits andresources; and communicate insights from original data and research online and offline to hyper-local, regional, and global audiences. The eight selected organisations will be split into two cohorts of four. Each cohort will complete a full set of activities thatfall under three streams: “collect”, “coach”, and “communicate”.Collect Eight LGBTQI organisations collaborate with D4C data coaches to identify relevant existing data (“datamaps”) and missing data (“data gaps”). Coaches work with each organisation to co-create an innovative, ethical and secure data collection strategy that generates original data about LGBTQI rights. Outputs Eight documentation packs, each including a data capacity assessment, a data maps and gaps profile, and a three-month data collection plan Eight new datasets collected and up to 40relevant open data sources Coach Up to 16 LGBTQI leaders (two per organisation)participate in D4C’s immersive and interactive three-month DataSkills Fellowship. They acquire a foundational understanding of the data workflow (collect, clean, understand,communicate) and apply these skills to create and publish a data project of theirown. They participate in virtual “link and learn”events to share knowledge with their cohorts and they lead in-person Data Skills Bootcamps to transfer knowledge to their communities. They confidently andactively use data insights to create and implementnew 12-month data advocacy strategies for their organisations and create up to two data-driven advocacy outputs each. Outputs 16 LGBTQI leaders participate in three-month fellowship 16 data-driven projects and training diaries Four“link and learn” events80 LGBTQI community members attend Data Skills Bootcamps Eight 12-month data advocacy strategies32 data-driven advocacy outputs Communicate LGBTQI organisations share data insights with diverse audiences from hyperlocal (e.g. their own communities, families) to global (e.g. diplomats, rapporteurs, funders). With D4C data, design and storytelling coaches, each organisation co-creates a series ofonline and offline communications as part of a data-driven‘dispatch’, and contributes to amulti-stakeholder, cross-regional and cross-theme data-driven advocacy campaign that speaks to a global audience. They participate in virtual meetings with international stakeholders, presenting original data on LGBTQI rights and reporting on their countries’ human rights records. Outputs Eight data-driven ‘dispatches’ Two data-driven advocacy campaigns Eight virtual meetings with international stakeholders."
"459";"crs_NL-KVK-27108436-A-05260-06:XG";"Small Media Foundation, CfP reference; V1601-XG-IL-092.
This project aims to increase the data collection, analysis and visualisation capacities of Uganda, Tanzania and Kenya Human Rights Organisations (HRO) focused on empowering Lesbian-Gay-Bisexual-Transsexual-Intersex (LGBTI) people, women facing exploitation, abuse and/or violence, as well as indigenous groups and ethnic minorities.
The action comes from their research work in East Africa, where HRO in Tanzania and Uganda need training and collaborative innovation opportunities that support them to collect and present human rights documentation data. One of the questions this project aims to investigate is how to improve their offering of innovation and strategic guidance in design, development andsocial media for ongoing advocacy initiatives.
This project called Data4Change is inspired by a successful pilot project in Beirut that has proven responsive to regional and local HRO needs in the Middle East North Africa region. Inspired by the insightsof this model, it has been useful for human rights organisations to learn the fundamentals of research methodology, data gathering, data analysis, data storytelling and data advocacy."
"460";"crs_NL-KVK-27108436-A-05786-08:VN";"From March 2015 to March 2018, with the support of EU and Oxfam, the Budget Transparency Coalition (BTAP) has successfully implemented the project ""Promoting transparency and people#s participation in state budget management #. After 3 years of implementation, the project has achieved great results such as some information publicity policies have improved to some extends; Local authorities inHoa Binh and Quang Tri have applied the mechanisms for community involvement in monitoring, and community groups#members have become a positive factor in motivating people to participate in budget monitoring. From April to December 2018, Oxfam continues to support BTAP in replicating the project#s successful lessons to influence at larger-scale.

Regarding supporting people#s participation, until December 2018, 11 core groups have been established (9 groups in Quang Tri and 2 groups in Hoa Binh). New groups# capacity in budget monitoring, analysing, and public investment monitoring has been built through various activities such as trainings and experience sharings. In these activities, older groups have played an active role in guiding and supporting new groups in budget monitoring. With the mechanism in which older groups supporting the new ones, BTAP expects thecommunity monitoring model to be spread naturally and sustainably. In the coming time, BTAP will continue to support the spreading process through initiative funds, sharing experiences in budget monitoring by organizing sharing sessions between old and new groups, or sharing in periodical meeting with Quang Tri provincial Women#s Union, Farmers Association of Hoa Binh province, Hoa Binh provincial Fatherland Front and through social media.In addition, the ""People monitoring budget"" group will be established on Facebook to create a forum for all residents to approach, share experiences and concerns relating to budget monitoring. Via the open forum above, BTAP will promote learning sharing and technical support for people#s participation in budget monitoring.

Regarding governmental support to expand the space for people#s participationin in decision making and monitoring budget implementation, the authorities in Hoa Binh and Quang Tri provinces have developed mechanisms such as the Scoring tools to select public investment projects, Social audit tools to assess the quality of public investment projects, Policy consultations, Community consultation mechanism to manage development budget of commune. Moreover, the People's Councils at all levels in the project area have also improved the effectiveness of policy implementation monitoring. In addition, the opportunity for people to comment and the accountability of People's Committees at all levels have been enhanced through policy dialogues. In the periodfrom April to December 2018, a total of 21 initiatives (11 initiatives were implemented in new districts and new communes) relating to the evaluation of public investment projects, policy dialogues and analysis have been carried out in Hoa Binh and QuangTriprovince. In the 2019-2020 period, BTAP continues to support governments in Hoa Binh and Quang Tri to implement a number of key policy initiatives to create more evidences for central-level policy advocacy. Thus, BTAP will support Mai Chau district People's Council to apply Scoring public investment tools and assist People's Council of Quang Tri province  evaluate the collective economic program.

Regarding promoting social dialogues on budget management, under the revised 2015 State Budget Law, the Government and People's Committees at all levels must publicize their budget estimation before getting approval from the National Assembly or People's Councils. During the reviewing period by the National Assembly and People's Councils, BTAP promotes publicdiscussionand people#s comment on the budget estimation. ""2019 State budget estimation from expert perspective"" seminar was held in Hanoi on October 29, 2018 with a total of 54 direct participants and 25,800 online viewers. There are more than 5,000peopleparticipating in the discussion, learning about the 2019 State budget estimation via website ngansachvietnam.vn and the Vietnam Budget fanpage. Opinions of experts and people on the 2019 State budget estimation were summarized by BTAP and sent to NationalAssembly deputies, the Ministry of Finance, and the Finance and Budget Committee of the National Assembly. MOF#s representative proposed a meeting with BTAP toexplain the contents of  recommendations relating to the 2019 State Budget Estimation.

Regarding monitoring the implementation of budget transparency policy, BTAP has applied the POBI initiative to assess the level of compliance of provincial authorities and MOBI initiative to assess the level of publicity of central agencies for regulationsrelated to budget transparency. The results of the survey were used by the Ministry of Finance to implement numerous strong actions to promote budget disclosure under the 2015 Budget Law. However, the survey only focused on 3 aspects of publicity (i) availability; (ii) timeliness; (iii) the adequacy of the budget documents but have not yet evaluated the quality, usefulness and participation. Therefore, BTAP proposes that these two surveys needto be completed in terms of evaluation criteria and are carried out annually to create a reliable tool promoting information publicity at the local level.

In 2017 and 2018, Oxfam have also supported BTAP to implement a project improving the role of commune health centers to enhance the quality of health servicesforthe poor, women and ethnic minorities in Quang Tri. The project has piloted the result-based financing model (RBF model) at 6 health centers. Although having just been implemented, RBF model has made some initial impacts to improve service delivery qualityof health centers. RBF activities have facilitated community participation in quality assessment/ service delivery scoring of health centers. Based on this assessment, health centers# budget utilization is improved. However, RBF has just beenpiloted ina short period of time, the evidence and policy messages relating to the allocation of grassroots health budgets based on the operation results are stil unclear. Therefore, BTAP suggests that the implementation of RBF in Quang Trineed more time.

Budget isone of the most important content of economic and social management. If managed in a transparent manner, ensuring accountability and efficiency, budget expenditure plays an important role in poverty reduction, social and economic development. Therefore, BTAP will continue to promote transparency and efficiency in budget management with a comprehensive approach from policy improvement, policy implementation monitoring and community participation support. With the above analysis, BTAP proposes tocontinueimplementing the next phase of the project ""Promoting transparency and the people#s participation in state budget management #Expanding period# with the aim of maintaining budget management initiatives, broadening the scope of their impact, andmovingtowardsadvocating institulization into policy solutions for more widespread adoption."
"461";"crs_NL-KVK-27108436-A-05084-08:XG";"Continuation of Datalab Jan2018-Mach2019 to April March 2019-20 as agreed in Steering Cie Meeting Pending Final Plan <(>&<)> BudgetYear 3 with new Project leader starting June 20"
"462";"crs_NL-KVK-27108436-A-06361-07:14";"LGBTQI organisations in Kenya, Tanzania and Uganda have limited opportunity to speak. When they do, it's vital they have the tools and resources they need to communicate effectively.Data4Change (D4C), with input from Voice Global, will select eight LGBTQI organisations from our existing and trusted partners in target countries to participate in DataWise. Trusted partners from other countries may be included as agreed by D4C and Voice.DataWise empowers grassroots organisations working at the intersection of LGBTQI, women’sand young people’s rights to use data, design, and storytelling to build and strengthen community,inspire action, and hold power toaccount. After participating in DataWise, organisations will: collect and use data to inform and implement innovative advocacy strategies; transfer newly acquired data skills to their own communities using D4C toolkits andresources; and communicate insights from original data and research online and offline to hyper-local, regional, and global audiences. The eight selected organisations will be split into two cohorts of four. Each cohort will complete a full set of activities thatfall under three streams: “collect”, “coach”, and “communicate”.Collect Eight LGBTQI organisations collaborate with D4C data coaches to identify relevant existing data (“datamaps”) and missing data (“data gaps”). Coaches work with each organisation to co-create an innovative, ethical and secure data collection strategy that generates original data about LGBTQI rights. Outputs Eight documentation packs, each including a data capacity assessment, a data maps and gaps profile, and a three-month data collection plan Eight new datasets collected and up to 40relevant open data sources Coach Up to 16 LGBTQI leaders (two per organisation)participate in D4C’s immersive and interactive three-month DataSkills Fellowship. They acquire a foundational understanding of the data workflow (collect, clean, understand,communicate) and apply these skills to create and publish a data project of theirown. They participate in virtual “link and learn”events to share knowledge with their cohorts and they lead in-person Data Skills Bootcamps to transfer knowledge to their communities. They confidently andactively use data insights to create and implementnew 12-month data advocacy strategies for their organisations and create up to two data-driven advocacy outputs each. Outputs 16 LGBTQI leaders participate in three-month fellowship 16 data-driven projects and training diaries Four“link and learn” events80 LGBTQI community members attend Data Skills Bootcamps Eight 12-month data advocacy strategies32 data-driven advocacy outputs Communicate LGBTQI organisations share data insights with diverse audiences from hyperlocal (e.g. their own communities, families) to global (e.g. diplomats, rapporteurs, funders). With D4C data, design and storytelling coaches, each organisation co-creates a series ofonline and offline communications as part of a data-driven‘dispatch’, and contributes to amulti-stakeholder, cross-regional and cross-theme data-driven advocacy campaign that speaks to a global audience. They participate in virtual meetings with international stakeholders, presenting original data on LGBTQI rights and reporting on their countries’ human rights records. Outputs Eight data-driven ‘dispatches’ Two data-driven advocacy campaigns Eight virtual meetings with international stakeholders."
"463";"crs_NL-KVK-27108436-A-05084-05:NL";"for pre-financing ILUMY Work on Digital Diversity Wheel of SD=HS - DataLab as service provider to SD=HS"
